Sample1	Sample2	Distance	Species_2	Species_1	Comparison
Andreas168	AH.058	0.990309062	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.058	0.990309062	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.157	0.960368664	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.157	0.960368664	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.055	0.995067644	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.055	0.995067644	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.053	0.989952089	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.053	0.989952089	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.067	0.992690283	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.067	0.992690283	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
